***************** properties *****************
"readproportion"="0.5"
"rocksdb.block_size"="4096"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.use_direct_reads"="false"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.block_size_deviation"="10"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.allow_mmap_reads"="false "
"threadcount"="4"
"rocksdb.level0_file_num_compaction_trigger"="4"
"operationcount"="10000000"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.max_bytes_for_level_multiplier"="10"
"requestdistribution"="uniform"
"rocksdb.write_buffer_size"="134217728"
"rocksdb.use_fsync"="false"
"rocksdb.cache_index_and_filter_blocks"="false"
"rocksdb.level0_slowdown_writes_trigger"="20"
"rocksdb.num_levels"="7"
"workload"="core"
"rocksdb.no_block_cache"="false"
"insertproportion"="0"
"rocksdb.block_restart_interval"="16"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"maxscanlength"="10"
"rocksdb.allow_mmap_writes"="false"
"recordcount"="3000000"
"scanproportion"="0"
"updateproportion"="0.5"
"rocksdb.arena_block_size"="0"
"dotransactions"="true"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"fieldlength"="100"
"rocksdb.whole_key_filtering"="true"
"rocksdb.allow_concurrent_memtable_writes"="true"
"readallfields"="true"
"rocksdb.max_background_flushes"="2"
"fieldcount"="10"
"rocksdb.dir"="../data"
"rocksdb.max_total_wal_size"="0"
**********************************************
READ   - Takes(s): 9.9, Count: 1294, OPS: 130.6, Avg(us): 15712, Min(us): 9, Max(us): 454671, 99th(us): 272000, 99.9th(us): 451000, 99.99th(us): 455000
UPDATE - Takes(s): 9.9, Count: 1239, OPS: 125.4, Avg(us): 15665, Min(us): 20, Max(us): 725283, 99th(us): 312000, 99.9th(us): 619000, 99.99th(us): 726000
READ   - Takes(s): 19.9, Count: 2997, OPS: 150.5, Avg(us): 13493, Min(us): 9, Max(us): 626175, 99th(us): 261000, 99.9th(us): 542000, 99.99th(us): 627000
UPDATE - Takes(s): 19.9, Count: 2885, OPS: 145.1, Avg(us): 13679, Min(us): 20, Max(us): 725283, 99th(us): 303000, 99.9th(us): 562000, 99.99th(us): 726000
READ   - Takes(s): 29.9, Count: 4282, OPS: 143.2, Avg(us): 13624, Min(us): 9, Max(us): 626175, 99th(us): 271000, 99.9th(us): 542000, 99.99th(us): 627000
UPDATE - Takes(s): 29.9, Count: 4169, OPS: 139.5, Avg(us): 14565, Min(us): 20, Max(us): 725283, 99th(us): 326000, 99.9th(us): 567000, 99.99th(us): 726000
READ   - Takes(s): 39.9, Count: 4830, OPS: 121.0, Avg(us): 16123, Min(us): 9, Max(us): 626175, 99th(us): 302000, 99.9th(us): 568000, 99.99th(us): 627000
UPDATE - Takes(s): 39.9, Count: 4692, OPS: 117.6, Avg(us): 17425, Min(us): 20, Max(us): 725283, 99th(us): 373000, 99.9th(us): 567000, 99.99th(us): 726000
READ   - Takes(s): 49.9, Count: 5913, OPS: 118.5, Avg(us): 16547, Min(us): 7, Max(us): 626175, 99th(us): 306000, 99.9th(us): 568000, 99.99th(us): 627000
UPDATE - Takes(s): 49.9, Count: 5789, OPS: 116.1, Avg(us): 17624, Min(us): 14, Max(us): 725283, 99th(us): 361000, 99.9th(us): 586000, 99.99th(us): 726000
READ   - Takes(s): 59.9, Count: 7290, OPS: 121.7, Avg(us): 15698, Min(us): 5, Max(us): 626175, 99th(us): 280000, 99.9th(us): 553000, 99.99th(us): 627000
UPDATE - Takes(s): 59.9, Count: 7249, OPS: 121.1, Avg(us): 17219, Min(us): 14, Max(us): 725283, 99th(us): 333000, 99.9th(us): 567000, 99.99th(us): 726000
READ   - Takes(s): 69.9, Count: 8654, OPS: 123.8, Avg(us): 15655, Min(us): 5, Max(us): 626175, 99th(us): 281000, 99.9th(us): 565000, 99.99th(us): 627000
UPDATE - Takes(s): 69.9, Count: 8611, OPS: 123.2, Avg(us): 16762, Min(us): 14, Max(us): 725283, 99th(us): 326000, 99.9th(us): 562000, 99.99th(us): 726000
READ   - Takes(s): 79.9, Count: 9955, OPS: 124.6, Avg(us): 15907, Min(us): 5, Max(us): 626175, 99th(us): 306000, 99.9th(us): 565000, 99.99th(us): 627000
UPDATE - Takes(s): 79.9, Count: 9928, OPS: 124.3, Avg(us): 16261, Min(us): 14, Max(us): 725283, 99th(us): 314000, 99.9th(us): 567000, 99.99th(us): 726000
READ   - Takes(s): 89.9, Count: 12409, OPS: 138.0, Avg(us): 14165, Min(us): 5, Max(us): 626175, 99th(us): 278000, 99.9th(us): 553000, 99.99th(us): 612000
UPDATE - Takes(s): 89.9, Count: 12368, OPS: 137.6, Avg(us): 14880, Min(us): 13, Max(us): 725283, 99th(us): 309000, 99.9th(us): 562000, 99.99th(us): 698000
READ   - Takes(s): 99.9, Count: 16314, OPS: 163.3, Avg(us): 11998, Min(us): 5, Max(us): 626175, 99th(us): 250000, 99.9th(us): 545000, 99.99th(us): 612000
UPDATE - Takes(s): 99.9, Count: 16221, OPS: 162.4, Avg(us): 12533, Min(us): 12, Max(us): 725283, 99th(us): 271000, 99.9th(us): 552000, 99.99th(us): 698000
READ   - Takes(s): 109.9, Count: 19328, OPS: 175.9, Avg(us): 11150, Min(us): 4, Max(us): 626175, 99th(us): 238000, 99.9th(us): 544000, 99.99th(us): 612000
UPDATE - Takes(s): 109.9, Count: 19298, OPS: 175.6, Avg(us): 11589, Min(us): 12, Max(us): 725283, 99th(us): 257000, 99.9th(us): 553000, 99.99th(us): 698000
READ   - Takes(s): 119.9, Count: 27777, OPS: 231.6, Avg(us): 8473, Min(us): 4, Max(us): 626175, 99th(us): 194000, 99.9th(us): 514000, 99.99th(us): 610000
UPDATE - Takes(s): 119.9, Count: 28050, OPS: 234.0, Avg(us): 8703, Min(us): 12, Max(us): 725283, 99th(us): 208000, 99.9th(us): 537000, 99.99th(us): 668000
READ   - Takes(s): 129.9, Count: 40207, OPS: 309.5, Avg(us): 6352, Min(us): 4, Max(us): 626175, 99th(us): 151000, 99.9th(us): 472000, 99.99th(us): 589000
UPDATE - Takes(s): 129.9, Count: 40571, OPS: 312.4, Avg(us): 6510, Min(us): 11, Max(us): 725283, 99th(us): 157000, 99.9th(us): 511000, 99.99th(us): 633000
READ   - Takes(s): 139.9, Count: 52363, OPS: 374.3, Avg(us): 5257, Min(us): 4, Max(us): 626175, 99th(us): 131000, 99.9th(us): 440000, 99.99th(us): 587000
UPDATE - Takes(s): 139.9, Count: 52930, OPS: 378.4, Avg(us): 5368, Min(us): 11, Max(us): 725283, 99th(us): 130000, 99.9th(us): 463000, 99.99th(us): 619000
READ   - Takes(s): 149.9, Count: 65416, OPS: 436.4, Avg(us): 4523, Min(us): 4, Max(us): 626175, 99th(us): 102000, 99.9th(us): 406000, 99.99th(us): 585000
UPDATE - Takes(s): 149.9, Count: 65951, OPS: 440.0, Avg(us): 4601, Min(us): 11, Max(us): 725283, 99th(us): 99000, 99.9th(us): 431000, 99.99th(us): 619000
READ   - Takes(s): 159.9, Count: 79738, OPS: 498.6, Avg(us): 3963, Min(us): 4, Max(us): 626175, 99th(us): 90000, 99.9th(us): 383000, 99.99th(us): 581000
UPDATE - Takes(s): 159.9, Count: 80268, OPS: 502.0, Avg(us): 4026, Min(us): 11, Max(us): 725283, 99th(us): 88000, 99.9th(us): 408000, 99.99th(us): 602000
READ   - Takes(s): 169.9, Count: 94678, OPS: 557.2, Avg(us): 3553, Min(us): 4, Max(us): 626175, 99th(us): 77000, 99.9th(us): 353000, 99.99th(us): 572000
UPDATE - Takes(s): 169.9, Count: 95226, OPS: 560.5, Avg(us): 3598, Min(us): 11, Max(us): 725283, 99th(us): 75000, 99.9th(us): 376000, 99.99th(us): 597000
READ   - Takes(s): 179.9, Count: 104553, OPS: 581.1, Avg(us): 3403, Min(us): 4, Max(us): 626175, 99th(us): 72000, 99.9th(us): 343000, 99.99th(us): 568000
