***************** properties *****************
"rocksdb.allow_mmap_reads"="false "
"rocksdb.level0_slowdown_writes_trigger"="20"
"fieldcount"="10"
"rocksdb.use_direct_reads"="false"
"insertproportion"="0"
"threadcount"="4"
"updateproportion"="0.05"
"readallfields"="true"
"requestdistribution"="uniform"
"rocksdb.whole_key_filtering"="true"
"rocksdb.write_buffer_size"="134217728"
"rocksdb.block_restart_interval"="16"
"scanproportion"="0"
"rocksdb.dir"="../data"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"rocksdb.block_size_deviation"="10"
"readproportion"="0.95"
"dotransactions"="true"
"recordcount"="3000000"
"rocksdb.allow_concurrent_memtable_writes"="true"
"rocksdb.max_bytes_for_level_multiplier"="10"
"workload"="core"
"rocksdb.allow_mmap_writes"="false"
"rocksdb.use_fsync"="false"
"rocksdb.no_block_cache"="false"
"rocksdb.arena_block_size"="0"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.block_size"="4096"
"fieldlength"="100"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.num_levels"="7"
"rocksdb.max_total_wal_size"="0"
"rocksdb.level0_file_num_compaction_trigger"="4"
"rocksdb.max_background_flushes"="2"
"maxscanlength"="10"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.cache_index_and_filter_blocks"="false"
"operationcount"="10000000"
**********************************************
READ   - Takes(s): 10.0, Count: 9643, OPS: 964.2, Avg(us): 3924, Min(us): 8, Max(us): 200481, 99th(us): 67000, 99.9th(us): 132000, 99.99th(us): 201000
UPDATE - Takes(s): 10.0, Count: 514, OPS: 51.5, Avg(us): 3963, Min(us): 21, Max(us): 128399, 99th(us): 64000, 99.9th(us): 129000, 99.99th(us): 129000
READ   - Takes(s): 20.0, Count: 20294, OPS: 1014.6, Avg(us): 3720, Min(us): 6, Max(us): 200481, 99th(us): 63000, 99.9th(us): 117000, 99.99th(us): 185000
UPDATE - Takes(s): 20.0, Count: 1094, OPS: 54.7, Avg(us): 3884, Min(us): 21, Max(us): 128399, 99th(us): 66000, 99.9th(us): 103000, 99.99th(us): 129000
READ   - Takes(s): 30.0, Count: 31941, OPS: 1064.7, Avg(us): 3552, Min(us): 6, Max(us): 200481, 99th(us): 61000, 99.9th(us): 113000, 99.99th(us): 173000
UPDATE - Takes(s): 30.0, Count: 1671, OPS: 55.7, Avg(us): 3701, Min(us): 20, Max(us): 128399, 99th(us): 64000, 99.9th(us): 105000, 99.99th(us): 129000
READ   - Takes(s): 40.0, Count: 43166, OPS: 1079.1, Avg(us): 3504, Min(us): 5, Max(us): 200481, 99th(us): 61000, 99.9th(us): 112000, 99.99th(us): 173000
UPDATE - Takes(s): 40.0, Count: 2284, OPS: 57.1, Avg(us): 3660, Min(us): 20, Max(us): 128399, 99th(us): 63000, 99.9th(us): 103000, 99.99th(us): 129000
READ   - Takes(s): 50.0, Count: 54684, OPS: 1093.6, Avg(us): 3453, Min(us): 5, Max(us): 200481, 99th(us): 61000, 99.9th(us): 111000, 99.99th(us): 173000
UPDATE - Takes(s): 50.0, Count: 2905, OPS: 58.1, Avg(us): 3697, Min(us): 20, Max(us): 128399, 99th(us): 64000, 99.9th(us): 110000, 99.99th(us): 129000
READ   - Takes(s): 60.0, Count: 65904, OPS: 1098.4, Avg(us): 3442, Min(us): 5, Max(us): 200481, 99th(us): 62000, 99.9th(us): 113000, 99.99th(us): 164000
