***************** properties *****************
"fieldlength"="100"
"fieldcount"="10"
"rocksdb.use_fsync"="false"
"rocksdb.max_bytes_for_level_multiplier"="10"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.max_background_flushes"="2"
"rocksdb.allow_concurrent_memtable_writes"="true"
"operationcount"="10000000"
"threadcount"="4"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"rocksdb.level0_file_num_compaction_trigger"="4"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"insertproportion"="0"
"updateproportion"="0"
"rocksdb.dir"="../data"
"rocksdb.write_buffer_size"="134217728"
"readallfields"="true"
"readmodifywriteproportion"="0.5"
"rocksdb.use_direct_reads"="false"
"dotransactions"="true"
"rocksdb.level0_slowdown_writes_trigger"="20"
"rocksdb.block_size_deviation"="10"
"rocksdb.block_restart_interval"="16"
"rocksdb.cache_index_and_filter_blocks"="false"
"scanproportion"="0"
"rocksdb.whole_key_filtering"="true"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.max_total_wal_size"="0"
"recordcount"="3000000"
"rocksdb.no_block_cache"="false"
"rocksdb.block_size"="4096"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.num_levels"="7"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.allow_mmap_reads"="false "
"maxscanlength"="10"
"requestdistribution"="uniform"
"workload"="core"
"rocksdb.arena_block_size"="0"
"readproportion"="0.5"
"rocksdb.allow_mmap_writes"="false"
**********************************************
READ   - Takes(s): 10.0, Count: 312444, OPS: 31278.7, Avg(us): 102, Min(us): 4, Max(us): 577979, 99th(us): 1000, 99.9th(us): 2000, 99.99th(us): 221000
READ_MODIFY_WRITE - Takes(s): 10.0, Count: 155971, OPS: 15615.3, Avg(us): 142, Min(us): 19, Max(us): 578039, 99th(us): 1000, 99.9th(us): 2000, 99.99th(us): 249000
UPDATE - Takes(s): 10.0, Count: 155971, OPS: 15615.2, Avg(us): 35, Min(us): 10, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 3000
READ   - Takes(s): 20.0, Count: 318731, OPS: 15946.2, Avg(us): 226, Min(us): 4, Max(us): 658074, 99th(us): 1000, 99.9th(us): 46000, 99.99th(us): 390000
READ_MODIFY_WRITE - Takes(s): 20.0, Count: 159133, OPS: 7961.8, Avg(us): 277, Min(us): 19, Max(us): 645452, 99th(us): 1000, 99.9th(us): 51000, 99.99th(us): 390000
UPDATE - Takes(s): 20.0, Count: 159133, OPS: 7961.8, Avg(us): 35, Min(us): 10, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 30.0, Count: 329549, OPS: 10989.3, Avg(us): 340, Min(us): 4, Max(us): 658074, 99th(us): 1000, 99.9th(us): 84000, 99.99th(us): 438000
READ_MODIFY_WRITE - Takes(s): 30.0, Count: 164538, OPS: 5486.9, Avg(us): 389, Min(us): 19, Max(us): 645452, 99th(us): 1000, 99.9th(us): 85000, 99.99th(us): 439000
UPDATE - Takes(s): 30.0, Count: 164538, OPS: 5486.9, Avg(us): 35, Min(us): 10, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 40.0, Count: 338364, OPS: 8461.5, Avg(us): 445, Min(us): 4, Max(us): 658074, 99th(us): 1000, 99.9th(us): 104000, 99.99th(us): 454000
READ_MODIFY_WRITE - Takes(s): 40.0, Count: 169069, OPS: 4227.9, Avg(us): 500, Min(us): 19, Max(us): 645452, 99th(us): 1000, 99.9th(us): 110000, 99.99th(us): 454000
